epit
cardunculus
cornigera
humilis
scolymus
syriaca
coccinea
merckii
pinnata
variabilis
alliariifolia
hecatocephala
corymbosa
mikanioides
keniensis
keniodendron
litoralis
auriculata
benthamii
chrysanthemifolia
integrifolia
dentatifolia
anomala
arenaria
capensis
cuneneensis
galpinii
incana
montana
schimperi
schinzii
tomentosa
canescens
canescens
parviflorus
carnosa
carnosa
spinosa
bigelovii
canescens
canescens
acutifolia
aurantiaca
calendulacea
chrysanthemifolia
cuneata
ecklonis
jucunda
nudicaulis
pluvialis
polyptera
sinuata
tragus
zeyheri
maritima
meyenii
ericoides
kraussii
angulifolius
anisochaetoides
antandroy
divaricatus
garnierianus
lastellei
mangokensis
ochroleucus
plumosus
polygalifolius
rochonioides
subluteus
subluteus
subluteus
swinglei
graveolens
viscosa
viscosa
bovei
cafra
umbellata
lyallii
renifolia
ericoides
austriacum
carpetanum
caucasicum
clusii
columnae
corsicum
grandiflorum
hungaricum
orientale
pardalianches
pubescens
turkestanicum
hoopesii
filifolius
matudae
cancellata
decipiens
hartwegii
papposa
pinnata
porophyllum
roseata
tagetiflora
angustifolia
atrorubens
pallida
purpurea
sanguinea
tennesseensis
acantholepis
adenocaulos
bannaticus
colchicus
exaltatus
foliosus
gaillardotii
hoehnelii
hussonii
karatavicus
knorringianus
maracandicus
nanus
orientalis
pappii
philistaeus
polyceras
pungens
ritro
ritro
ritro
ritro
sp.
sphaerocephalus
spinosissimus
spinosus
strigosus
tenuisectus
transcaucasicus
alatocarpa
alba
prostrata
sesamoides
prostrata
glaber
pusillus
haitiensis
carolinianus
mollis
scaber
scaber
senegalensis
rhinocerotis
abyssinica
ambifaria
coccinea
discifolia
hantamensis
hockii
marlothiana
transvaalensis
vanmeelii
actoni
californica
canescens
canescens
farinosa
frutescens
halimifolia
resinifera
ventorum
virginensis
covillei
peristenia
pinnatifida
africana
radicans
australis
cunninghamii
demissus
glomerata
hieracifolia
hieraciifolius
leptanthus
valerianifolius
capitatus
marlothianus
arborescens
arborescens
brachylepis
cooperi
cooperi
ericoides
laricifolia
linearifolia
nauseosa
parryi
resinosa
suffruticosa
teretifolia
acre
acris
acris
acris
acris
allochrous
alpinus
andicola
annuus
arenarioides
atticus
barbellulatus
bellidioides
blochmanae
bloomeri
bloomeri
bonariensis
borealis
breweri
breweri
caespitosus
canadensis
caucasicus
clokeyi
compactus
compositus
concinnus
corymbosus
darrellianus
disparipilus
divergens
eatonii
eatonii
engelmannii
eximius
filifolius
filifolius
flagellaris
foliosus
foliosus
formosissimus
glabellus
glabratus
glaucus
gunnii
hungaricus
incertus
lassenianus
libanoticus
linearis
luxurians
morrisonensis
nanus
nitidus
paludicola
pappocromus
peregrinus
peregrinus
philadelphicus
podolicus
pubescens
pulchellus
pumilus
pygmaeus
ramosus
speciosus
stellatus
strigosus
subtrinervis
