name,Mean 1000 Seed Weiht, ,URL
Achillea pseudopectinata Janka, 0.0928,http://data.kew.org/sid/SidServlet?ID=46841&Num=A1y
Achillea ptarmica L., 0.31,http://data.kew.org/sid/SidServlet?ID=661&Num=0IG
Achillea santolina L., 0.2,http://data.kew.org/sid/SidServlet?ID=662&Num=XmQ
Achillea santolinoides Laq. subsp. wilhelmsii (K.Koch.) Greuter, 0.18748,http://data.kew.org/sid/SidServlet?ID=46842&Num=Ym7
Achillea setacea Waldst. & Kit., 0.0743,http://data.kew.org/sid/SidServlet?ID=663&Num=88q
Achillea sibirica Ledeb., 0.22,http://data.kew.org/sid/SidServlet?ID=664&Num=eKN
Achillea tenuifolia Lam., 0.1696,http://data.kew.org/sid/SidServlet?ID=57877&Num=GZZ
Achillea tomentosa L., 0.08868,http://data.kew.org/sid/SidServlet?ID=54437&Num=2ym
Achnophora tatei F.Muell., 0.253,http://data.kew.org/sid/SidServlet?ID=31676&Num=7G9
Achyrachaena mollis Schauer, 3.741,http://data.kew.org/sid/SidServlet?ID=669&Num=8vi
Acicarpha tribuloides Juss., 6.1,http://data.kew.org/sid/SidServlet?ID=680&Num=e0l
Aciphylla aurea W.R.B.Oliv., 4.2,http://data.kew.org/sid/SidServlet?ID=683&Num=Aw3
Aciphylla crenulata J.B. Armst, 2.5065,http://data.kew.org/sid/SidServlet?ID=45384&Num=zX2
Aciphylla glacialis (F.Muell.) Benth., 5.899,http://data.kew.org/sid/SidServlet?ID=684&Num=PU6
Aciphylla glaucescens W.R.B.Oliv., 9.29,http://data.kew.org/sid/SidServlet?ID=31681&Num=vaE
Aciphylla hectori Buchanan, 2.4639241,http://data.kew.org/sid/SidServlet?ID=45385&Num=ZfW
Aciphylla horrida W.R.B.Oliv., 5.4288,http://data.kew.org/sid/SidServlet?ID=45386&Num=6YX
Aciphylla monroi Hook.f., 2.1488,http://data.kew.org/sid/SidServlet?ID=45387&Num=r0h
Aciphylla scott-thomsonii Cockayne & Allen, 7.72,http://data.kew.org/sid/SidServlet?ID=44545&Num=G5a
