name,Mean 1000 Seed Weiht, ,URL
Agalinis edwardsiana Pennell, 0.0344,http://data.kew.org/sid/SidServlet?ID=934&Num=B3f
Agalinis fasciculata (Elliot) Raf., 0.0516,http://data.kew.org/sid/SidServlet?ID=44321&Num=7A3
Agalinis genistifolia (Cham. & Schltdl.) D'Arcy, 0.0748,http://data.kew.org/sid/SidServlet?ID=935&Num=f72
Agalinis heterophylla (Nutt.) Small ex Britton, 0.1168,http://data.kew.org/sid/SidServlet?ID=936&Num=TYa
Agalinis kingsii Proctor, 0.0596,http://data.kew.org/sid/SidServlet?ID=56257&Num=36j
Agalinis maritima (Raf.) Raf., 0.0668,http://data.kew.org/sid/SidServlet?ID=937&Num=b5N
Agalinis paupercula (A.Gray) Britton, 0.07408,http://data.kew.org/sid/SidServlet?ID=31756&Num=F9t
Agalinis purpurea (L.) Pennell, 0.0712,http://data.kew.org/sid/SidServlet?ID=31757&Num=KOD
Agalinis tenuifolia (Vahl) Raf., 0.048,http://data.kew.org/sid/SidServlet?ID=938&Num=1NN
Agastache foeniculum (Pursh) Kuntze, 0.3,http://data.kew.org/sid/SidServlet?ID=943&Num=0Vm
Agastache micrantha (A. Gray) Wooton & Standl., 0.0944,http://data.kew.org/sid/SidServlet?ID=31761&Num=e3H
Agastache nepetoides (L.) Kuntze, 0.335,http://data.kew.org/sid/SidServlet?ID=944&Num=JL4
Agastache palmeri (B.L.Rob.) Standl., 0.4748,http://data.kew.org/sid/SidServlet?ID=49136&Num=e2H
Agastache palmeri (B.L.Rob.) Standl. var. palmeri, 0.390106,http://data.kew.org/sid/SidServlet?ID=49137&Num=394
Agastache rugosa (Fisch. & C.A.Mey.) Kuntze, 0.4848,http://data.kew.org/sid/SidServlet?ID=946&Num=W4Q
Agastache scrophulariifolia (Willd.) Kuntze, 0.4672,http://data.kew.org/sid/SidServlet?ID=42821&Num=fSR
Agastache urticifolia (Benth.) Kuntze, 0.5,http://data.kew.org/sid/SidServlet?ID=947&Num=l0d
Agathisanthemum bojeri Klotzsch, 0.017,http://data.kew.org/sid/SidServlet?ID=31763&Num=nRP
Agathisanthemum globosum (Hochst. ex A.Rich.) Klotzsch, 0.1492,http://data.kew.org/sid/SidServlet?ID=52550&Num=9KG
Aidia micrantha (K.Schum.) Bullock ex F.White var. msonju (K. Krause) E.M.A.Petit, 53.4876,http://data.kew.org/sid/SidServlet?ID=31802&Num=XDF
Aidia racemosa (Cav.) Tirveng., 6.6948,http://data.kew.org/sid/SidServlet?ID=59832&Num=Z73
Ajuga australis R.Br., 3.733,http://data.kew.org/sid/SidServlet?ID=31809&Num=RP0
Ajuga chamaepitys (L.) Schreb. subsp. chamaepitys, 1.766,http://data.kew.org/sid/SidServlet?ID=49138&Num=52M
Ajuga chamaepitys (L.) Schreb. subsp. libanotica P.H.Davis, 1.6068,http://data.kew.org/sid/SidServlet?ID=49139&Num=h08
Ajuga chamaepitys (L.) Schreb., 1.6602,http://data.kew.org/sid/SidServlet?ID=1099&Num=54I
Ajuga chamaepitys (L.) Schreb. subsp. chia (Schreb.) Arcang., 1.8,http://data.kew.org/sid/SidServlet?ID=42823&Num=aqX
Ajuga chia (Poir.) Schreb., 1.7,http://data.kew.org/sid/SidServlet?ID=1100&Num=pmK
Ajuga genevensis L., 1.5672,http://data.kew.org/sid/SidServlet?ID=1101&Num=NZj
Ajuga integrifolia Buch.-Ham., 1.9592,http://data.kew.org/sid/SidServlet?ID=42824&Num=D1U
Ajuga iva (L.) Schreb., 2.1,http://data.kew.org/sid/SidServlet?ID=1102&Num=z65
Ajuga orientalis L., 2.5856,http://data.kew.org/sid/SidServlet?ID=42825&Num=C1l
Ajuga pyramidalis L., 1.45,http://data.kew.org/sid/SidServlet?ID=1104&Num=JqE
Ajuga reptans L., 1.4,http://data.kew.org/sid/SidServlet?ID=1106&Num=f6E
Ajuga salicifolia (L.) Schreb., 3.0576,http://data.kew.org/sid/SidServlet?ID=49140&Num=876
Ajuga sinuata R.Br., 1.7772,http://data.kew.org/sid/SidServlet?ID=49141&Num=kcM
Ajuga sp., 1.33,http://data.kew.org/sid/SidServlet?ID=1107&Num=64X
Alafia fuscata Pichon, 33.0444,http://data.kew.org/sid/SidServlet?ID=59082&Num=04j
Alberta magna E.Mey., 23.31,http://data.kew.org/sid/SidServlet?ID=1115&Num=JCA
Alectra avensis (Benth.) Merr., 8.0E-4,http://data.kew.org/sid/SidServlet?ID=50941&Num=3Ds
Alectra ibityensis Eb. Fisch., 0.0172,http://data.kew.org/sid/SidServlet?ID=50942&Num=u4M
Alectra orobanchoides Benth., 0.0112,http://data.kew.org/sid/SidServlet?ID=50943&Num=U5w
Alectra pseudobarleriae Dinter, 0.1506,http://data.kew.org/sid/SidServlet?ID=31836&Num=69Z
Alectra rigida (Hiern) Hemsl. subsp. paludosa (A.Chev.) Hepper, 0.0304,http://data.kew.org/sid/SidServlet?ID=44322&Num=1fn
Alectra sessiliflora (Vahl) Kuntze, 0.01,http://data.kew.org/sid/SidServlet?ID=31837&Num=9wE
Alectra sessiliflora (Vahl) Kuntze var. sessilifolia, 0.0046,http://data.kew.org/sid/SidServlet?ID=50944&Num=pqz
Alectra vogelii Benth., 3.0E-4,http://data.kew.org/sid/SidServlet?ID=1195&Num=Bq1
Alibertia curviflora K.Schum., 190,http://data.kew.org/sid/SidServlet?ID=1209&Num=PSs
Alibertia edulis (Rich.) A.Rich. ex DC., 15,http://data.kew.org/sid/SidServlet?ID=1210&Num=BJ1
Alkanna orientalis (L.) Boiss., 5.2984,http://data.kew.org/sid/SidServlet?ID=54005&Num=F2i
Alkanna strigosa Boiss. & Hohen., 4.098913,http://data.kew.org/sid/SidServlet?ID=45957&Num=X56
Alkanna tinctoria Tausch, 3.656,http://data.kew.org/sid/SidServlet?ID=31849&Num=ljw
Alkanna tuberculata (Forssk.) Meikle, 5.596,http://data.kew.org/sid/SidServlet?ID=60079&Num=AuD
Alonsoa acutifolia Ruiz & Pav., 0.5088,http://data.kew.org/sid/SidServlet?ID=1401&Num=45C
Alonsoa honoraria Grau, 0.272,http://data.kew.org/sid/SidServlet?ID=31988&Num=SK5
Alonsoa meridionalis (L.f.) Kuntze, 0.2632,http://data.kew.org/sid/SidServlet?ID=31989&Num=Sk6
Alonsoa warscewiczii Regel, 0.8,http://data.kew.org/sid/SidServlet?ID=1402&Num=50L
